Tanggal;Hujan
01/12/2017;7,54
02/12/2017;5,05
03/12/2017;3,37
04/12/2017;11,54
05/12/2017;1,58
06/12/2017;8,87
07/12/2017;3,26
08/12/2017;12,5
09/12/2017;7,5
10/12/2017;8,94
11/12/2017;34,89
12/12/2017;22,03
13/12/2017;5,8
14/12/2017;8,78
15/12/2017;1,48
16/12/2017;5,29
17/12/2017;22,35
18/12/2017;65,65
19/12/2017;16,44
20/12/2017;31,41
21/12/2017;19,57
22/12/2017;4,21
23/12/2017;0,15
24/12/2017;0
25/12/2017;5,35
26/12/2017;8,17
27/12/2017;3,09
28/12/2017;0,7
29/12/2017;0,18
30/12/2017;4,41
31/12/2017;2,07
01/01/2018;9,41
02/01/2018;7,74
03/01/2018;14,1
04/01/2018;12,79
05/01/2018;1,49
06/01/2018;5,81
07/01/2018;8,82
08/01/2018;3,7
09/01/2018;4,05
10/01/2018;16,09
11/01/2018;18,01
12/01/2018;1,7
13/01/2018;2,74
14/01/2018;4,22
15/01/2018;1,61
16/01/2018;0,25
17/01/2018;1,03
18/01/2018;31,02
19/01/2018;47,44
20/01/2018;13,03
21/01/2018;8,5
22/01/2018;5,49
23/01/2018;10,01
24/01/2018;9,13
25/01/2018;8,06
26/01/2018;0,99
27/01/2018;3,26
28/01/2018;2,56
29/01/2018;2,22
30/01/2018;5,96
31/01/2018;8,65
01/02/2018;16,05
02/02/2018;22,07
03/02/2018;15,72
04/02/2018;7,78
05/02/2018;5,85
06/02/2018;2,11
07/02/2018;0,94
08/02/2018;26,3
09/02/2018;22,4
10/02/2018;21,35
11/02/2018;8,85
12/02/2018;0,65
13/02/2018;2,57
14/02/2018;0,71
15/02/2018;46,43
16/02/2018;38,39
17/02/2018;5,34
18/02/2018;2,67
19/02/2018;5,76
20/02/2018;16,43
21/02/2018;28,85
22/02/2018;82,63
23/02/2018;9,12
24/02/2018;4,5
25/02/2018;12,89
26/02/2018;16,02
27/02/2018;1,87
28/02/2018;2,29
01/03/2018;4,98
02/03/2018;2,49
03/03/2018;6,86
04/03/2018;7,82
05/03/2018;9,59
06/03/2018;4,88
07/03/2018;9,98
08/03/2018;32,52
09/03/2018;14,31
10/03/2018;15,72
11/03/2018;16,2
12/03/2018;2,98
13/03/2018;10,62
14/03/2018;2,28
15/03/2018;0,12
16/03/2018;18,83
17/03/2018;31,32
18/03/2018;26,76
19/03/2018;3,59
20/03/2018;4,95
21/03/2018;6,22
22/03/2018;2,82
23/03/2018;0,42
24/03/2018;6,13
25/03/2018;7,63
26/03/2018;1,62
27/03/2018;8,43
28/03/2018;7,52
29/03/2018;8,79
30/03/2018;20,01
31/03/2018;11,56
01/04/2018;24,19
02/04/2018;19,29
03/04/2018;3,04
04/04/2018;0,12
05/04/2018;0,39
06/04/2018;11,22
07/04/2018;13,06
08/04/2018;0,81
09/04/2018;0,31
10/04/2018;0
11/04/2018;1,65
12/04/2018;1,53
13/04/2018;0,11
14/04/2018;0
15/04/2018;0,02
16/04/2018;0,02
17/04/2018;2,66
18/04/2018;1,42
19/04/2018;7,79
20/04/2018;9,04
21/04/2018;1,82
22/04/2018;7,77
23/04/2018;14,4
24/04/2018;2,46
25/04/2018;7,75
26/04/2018;1,79
27/04/2018;0,01
28/04/2018;0,05
29/04/2018;0
30/04/2018;0,02
01/05/2018;0
02/05/2018;0
03/05/2018;0
04/05/2018;0
05/05/2018;0
06/05/2018;0,27
07/05/2018;0,34
08/05/2018;0,02
09/05/2018;0
10/05/2018;0
11/05/2018;0
12/05/2018;0
13/05/2018;0,01
14/05/2018;0,01
15/05/2018;0,47
16/05/2018;0,29
17/05/2018;0,06
18/05/2018;0,22
19/05/2018;0,02
20/05/2018;0,2
21/05/2018;1,78
22/05/2018;1,24
23/05/2018;1,8
24/05/2018;1,11
25/05/2018;0,16
26/05/2018;0
27/05/2018;0
28/05/2018;0
29/05/2018;0,13
